 STEP_COUNT,CLIFT,CDRAG
          25 ,   6.32051975E-02 ,   4.64510471E-02
          50 ,  0.131708384     ,   7.91829526E-02
          75 ,  0.204376623     ,  0.113649420    
         100 ,  0.273403645     ,  0.146283135    
         125 ,  0.334809631     ,  0.175481722    
         150 ,  0.393059224     ,  0.203029349    
         175 ,  0.446430951     ,  0.228256866    
         200 ,  0.494587243     ,  0.250913173    
         225 ,  0.539711118     ,  0.272108197    
         250 ,  0.580275655     ,  0.291446567    
         275 ,  0.615334749     ,  0.307929128    
         300 ,  0.643925250     ,  0.321506798    
         325 ,  0.669722736     ,  0.333616108    
         350 ,  0.692487419     ,  0.344447404    
         375 ,  0.710238755     ,  0.352935761    
         400 ,  0.723190665     ,  0.359002590    
         425 ,  0.734495640     ,  0.364298671    
         450 ,  0.742450058     ,  0.368462831    
         475 ,  0.747386575     ,  0.370686352    
         500 ,  0.750887990     ,  0.372306943    
         525 ,  0.753265500     ,  0.373011529    
         550 ,  0.753043413     ,  0.372333199    
         575 ,  0.751447916     ,  0.370966405    
         600 ,  0.748048425     ,  0.368716031    
         625 ,  0.742554665     ,  0.365403712    
         650 ,  0.735438764     ,  0.361301988    
         675 ,  0.727040172     ,  0.356529236    
         700 ,  0.716934562     ,  0.351203024    
         725 ,  0.706086636     ,  0.345460981    
         750 ,  0.694954038     ,  0.339644819    
         775 ,  0.683873117     ,  0.333777487    
         800 ,  0.671963513     ,  0.327659935    
         825 ,  0.660751343     ,  0.321551204    
         850 ,  0.649220645     ,  0.315563440    
         875 ,  0.638300180     ,  0.309694529    
         900 ,  0.627103925     ,  0.303905457    
         925 ,  0.615014136     ,  0.298063278    
         950 ,  0.603020251     ,  0.291830361    
         975 ,  0.590215862     ,  0.285301626    
        1000 ,  0.576775372     ,  0.278563917    
        1025 ,  0.563493311     ,  0.271758795    
        1050 ,  0.550755322     ,  0.265173525    
        1075 ,  0.538985133     ,  0.259082705    
        1100 ,  0.528365731     ,  0.253485918    
        1125 ,  0.518822491     ,  0.248455286    
        1150 ,  0.510820687     ,  0.244112477    
        1175 ,  0.504415572     ,  0.240464181    
