 STEP_COUNT,CLIFT,CDRAG
          25 ,   1.59956664E-02 ,   1.62910894E-02
          50 ,   3.53016891E-02 ,   1.80686042E-02
          75 ,   5.22709452E-02 ,   1.95104275E-02
         100 ,   6.65383711E-02 ,   2.07838062E-02
         125 ,   8.00124034E-02 ,   2.20607352E-02
         150 ,   9.13222581E-02 ,   2.31636688E-02
         175 ,  0.100923911     ,   2.40424816E-02
         200 ,  0.109588735     ,   2.47181430E-02
         225 ,  0.116191603     ,   2.52015404E-02
         250 ,  0.121594779     ,   2.55304817E-02
         275 ,  0.126032293     ,   2.57705562E-02
         300 ,  0.129467145     ,   2.59488001E-02
         325 ,  0.132397562     ,   2.60765813E-02
         350 ,  0.134245902     ,   2.61399113E-02
         375 ,  0.135301426     ,   2.61514504E-02
         400 ,  0.136351287     ,   2.61196140E-02
         425 ,  0.137174115     ,   2.60451827E-02
         450 ,  0.137013346     ,   2.59222649E-02
         475 ,  0.136023790     ,   2.57559195E-02
         500 ,  0.134383217     ,   2.55559552E-02
         525 ,  0.132711440     ,   2.53322423E-02
         550 ,  0.130599216     ,   2.51018517E-02
         575 ,  0.128946319     ,   2.48674564E-02
         600 ,  0.126770422     ,   2.46340409E-02
         625 ,  0.124872878     ,   2.44131964E-02
         650 ,  0.122202009     ,   2.41995249E-02
         675 ,  0.120203830     ,   2.39781421E-02
         700 ,  0.116643719     ,   2.37285234E-02
         725 ,  0.113120407     ,   2.34517939E-02
         750 ,  0.108884178     ,   2.31496692E-02
         775 ,  0.104501389     ,   2.28317548E-02
         800 ,  0.100114301     ,   2.24846564E-02
         825 ,   9.56195518E-02 ,   2.21293699E-02
         850 ,   9.12536085E-02 ,   2.17559412E-02
         875 ,   8.75526518E-02 ,   2.13796105E-02
         900 ,   8.40916112E-02 ,   2.10199431E-02
         925 ,   8.11068490E-02 ,   2.06910297E-02
         950 ,   7.86610767E-02 ,   2.03988664E-02
         975 ,   7.73452222E-02 ,   2.01606154E-02
        1000 ,   7.62542039E-02 ,   1.99583396E-02
        1025 ,   7.47955367E-02 ,   1.97979026E-02
        1050 ,   7.38226548E-02 ,   1.96745414E-02
        1075 ,   7.30578154E-02 ,   1.95912700E-02
        1100 ,   7.22815022E-02 ,   1.95424594E-02
        1125 ,   7.18453154E-02 ,   1.95099339E-02
        1150 ,   7.13662952E-02 ,   1.94816291E-02
        1175 ,   7.07026795E-02 ,   1.94529481E-02
        1200 ,   7.02502802E-02 ,   1.94148067E-02
        1225 ,   7.00197145E-02 ,   1.93755366E-02
        1250 ,   7.00782016E-02 ,   1.93349924E-02
        1275 ,   6.97334036E-02 ,   1.92936976E-02
        1300 ,   6.98664561E-02 ,   1.92390196E-02
        1325 ,   6.93656802E-02 ,   1.91713478E-02
        1350 ,   6.90495744E-02 ,   1.90938078E-02
        1375 ,   6.89312890E-02 ,   1.90077089E-02
        1400 ,   6.81097209E-02 ,   1.89218223E-02
        1425 ,   6.73148185E-02 ,   1.88304484E-02
        1450 ,   6.64642006E-02 ,   1.87370144E-02
        1475 ,   6.56822771E-02 ,   1.86352674E-02
        1500 ,   6.48107305E-02 ,   1.85340084E-02
        1525 ,   6.39671385E-02 ,   1.84433386E-02
        1550 ,   6.31639212E-02 ,   1.83713138E-02
        1575 ,   6.29153326E-02 ,   1.83172245E-02
        1600 ,   6.24800175E-02 ,   1.82862245E-02
        1625 ,   6.23445436E-02 ,   1.82695836E-02
        1650 ,   6.22163191E-02 ,   1.82648376E-02
        1675 ,   6.27875030E-02 ,   1.82833839E-02
        1700 ,   6.33002669E-02 ,   1.83262583E-02
        1725 ,   6.44158572E-02 ,   1.84009392E-02
        1750 ,   6.57520369E-02 ,   1.85028035E-02
        1775 ,   6.75357208E-02 ,   1.86278243E-02
        1800 ,   6.98004887E-02 ,   1.87688936E-02
        1825 ,   7.23979995E-02 ,   1.89230610E-02
        1850 ,   7.56356791E-02 ,   1.90948918E-02
        1875 ,   7.89065957E-02 ,   1.92923937E-02
        1900 ,   8.26441497E-02 ,   1.95168108E-02
        1925 ,   8.69244337E-02 ,   1.97572149E-02
        1950 ,   9.08072889E-02 ,   2.00039838E-02
        1975 ,   9.47233066E-02 ,   2.02566199E-02
        2000 ,   9.86654609E-02 ,   2.05056909E-02
        2025 ,  0.102396592     ,   2.07407456E-02
        2050 ,  0.105897844     ,   2.09582243E-02
        2075 ,  0.108927511     ,   2.11417750E-02
        2100 ,  0.111851878     ,   2.12811269E-02
        2125 ,  0.114187509     ,   2.13509854E-02
        2150 ,  0.116197370     ,   2.13612746E-02
        2175 ,  0.117311038     ,   2.13177465E-02
        2200 ,  0.117762357     ,   2.12286171E-02
        2225 ,  0.117400445     ,   2.10831296E-02
        2250 ,  0.116513602     ,   2.08909214E-02
        2275 ,  0.115298890     ,   2.06488837E-02
        2300 ,  0.113575906     ,   2.03671753E-02
        2325 ,  0.111583032     ,   2.00545713E-02
        2350 ,  0.109074287     ,   1.97285917E-02
        2375 ,  0.106419824     ,   1.94151010E-02
        2400 ,  0.103181772     ,   1.91136692E-02
        2425 ,   9.99802649E-02 ,   1.88269671E-02
        2450 ,   9.70158800E-02 ,   1.85637269E-02
        2475 ,   9.39401314E-02 ,   1.83248781E-02
        2500 ,   9.14088115E-02 ,   1.81042161E-02
        2525 ,   8.90217572E-02 ,   1.78975519E-02
        2550 ,   8.68035704E-02 ,   1.76989809E-02
        2575 ,   8.50844830E-02 ,   1.75034124E-02
        2600 ,   8.31526667E-02 ,   1.73165500E-02
        2625 ,   8.16361457E-02 ,   1.71504319E-02
        2650 ,   8.00831318E-02 ,   1.70004647E-02
        2675 ,   7.91707709E-02 ,   1.68815497E-02
        2700 ,   7.83491358E-02 ,   1.67835504E-02
        2725 ,   7.77948648E-02 ,   1.67044159E-02
        2750 ,   7.74475858E-02 ,   1.66424885E-02
        2775 ,   7.76353627E-02 ,   1.66003481E-02
        2800 ,   7.79051334E-02 ,   1.65778641E-02
        2825 ,   7.82212764E-02 ,   1.65777821E-02
        2850 ,   7.89380893E-02 ,   1.65858325E-02
        2875 ,   7.98508003E-02 ,   1.65955201E-02
        2900 ,   8.06253701E-02 ,   1.66064389E-02
