 STEP_COUNT,CLIFT,CDRAG
          25 ,   1.43910293E-02 ,   1.70358196E-02
          50 ,   3.14346515E-02 ,   1.81933790E-02
          75 ,   4.79246452E-02 ,   1.95858963E-02
         100 ,   6.12052940E-02 ,   2.11068783E-02
         125 ,   7.22407922E-02 ,   2.27007288E-02
         150 ,   8.14995989E-02 ,   2.39899103E-02
         175 ,   8.95732194E-02 ,   2.48460490E-02
         200 ,   9.59079713E-02 ,   2.53968965E-02
         225 ,  0.100984670     ,   2.58900076E-02
         250 ,  0.104757644     ,   2.66272705E-02
         275 ,  0.107965507     ,   2.76067220E-02
         300 ,  0.110327676     ,   2.87354160E-02
         325 ,  0.112091482     ,   2.99614742E-02
         350 ,  0.113572232     ,   3.12549658E-02
         375 ,  0.113871530     ,   3.26014981E-02
         400 ,  0.113466948     ,   3.39122303E-02
         425 ,  0.112947389     ,   3.49987000E-02
         450 ,  0.112060815     ,   3.57153267E-02
         475 ,  0.111169085     ,   3.60165350E-02
         500 ,  0.109826140     ,   3.59466448E-02
         525 ,  0.108034395     ,   3.56156453E-02
         550 ,  0.106449500     ,   3.51293311E-02
         575 ,  0.104343541     ,   3.46782506E-02
         600 ,  0.103136316     ,   3.43983099E-02
         625 ,  0.102947108     ,   3.42896804E-02
         650 ,  0.103525348     ,   3.42087075E-02
         675 ,  0.104053706     ,   3.41251157E-02
         700 ,  0.104807667     ,   3.39206494E-02
         725 ,  0.105482846     ,   3.34922001E-02
         750 ,  0.105636470     ,   3.27354670E-02
         775 ,  0.104537070     ,   3.16398032E-02
         800 ,  0.102772653     ,   3.02984361E-02
         825 ,  0.100541852     ,   2.88677681E-02
         850 ,   9.78603289E-02 ,   2.73879133E-02
         875 ,   9.58630592E-02 ,   2.59153899E-02
         900 ,   9.38226730E-02 ,   2.45315712E-02
         925 ,   9.21118036E-02 ,   2.32864991E-02
         950 ,   9.03893933E-02 ,   2.21765563E-02
         975 ,   8.91966820E-02 ,   2.12048013E-02
        1000 ,   8.77554417E-02 ,   2.04161722E-02
        1025 ,   8.67046639E-02 ,   1.98666006E-02
        1050 ,   8.62165764E-02 ,   1.96226332E-02
        1075 ,   8.59521106E-02 ,   1.97350252E-02
        1100 ,   8.59345943E-02 ,   2.01404728E-02
        1125 ,   8.54326114E-02 ,   2.07529124E-02
        1150 ,   8.42535496E-02 ,   2.14471593E-02
        1175 ,   8.30435902E-02 ,   2.21332069E-02
        1200 ,   8.13502967E-02 ,   2.27314997E-02
        1225 ,   7.98872411E-02 ,   2.32088882E-02
        1250 ,   7.86856487E-02 ,   2.34992690E-02
        1275 ,   7.71350339E-02 ,   2.36127339E-02
        1300 ,   7.61993229E-02 ,   2.35622358E-02
        1325 ,   7.57050738E-02 ,   2.33274642E-02
        1350 ,   7.55951554E-02 ,   2.29600407E-02
        1375 ,   7.54609555E-02 ,   2.25579645E-02
        1400 ,   7.48587847E-02 ,   2.21876148E-02
        1425 ,   7.43405819E-02 ,   2.18466371E-02
        1450 ,   7.37205297E-02 ,   2.15307251E-02
        1475 ,   7.31186196E-02 ,   2.12943833E-02
        1500 ,   7.29678646E-02 ,   2.11750921E-02
        1525 ,   7.31583983E-02 ,   2.11477969E-02
        1550 ,   7.38419369E-02 ,   2.11802591E-02
        1575 ,   7.35366568E-02 ,   2.12623216E-02
        1600 ,   7.35111088E-02 ,   2.14102324E-02
        1625 ,   7.33062029E-02 ,   2.16321014E-02
        1650 ,   7.34142885E-02 ,   2.19272152E-02
        1675 ,   7.34357834E-02 ,   2.23141834E-02
        1700 ,   7.31642768E-02 ,   2.27993876E-02
        1725 ,   7.30805323E-02 ,   2.33649947E-02
        1750 ,   7.30336532E-02 ,   2.39659455E-02
        1775 ,   7.28746578E-02 ,   2.45674010E-02
        1800 ,   7.29090571E-02 ,   2.51738243E-02
        1825 ,   7.29934052E-02 ,   2.57801414E-02
        1850 ,   7.40084127E-02 ,   2.63871662E-02
        1875 ,   7.49903396E-02 ,   2.69807372E-02
        1900 ,   7.67823085E-02 ,   2.75501534E-02
        1925 ,   7.89102018E-02 ,   2.80808527E-02
        1950 ,   8.14148933E-02 ,   2.85747778E-02
        1975 ,   8.40820447E-02 ,   2.90326197E-02
        2000 ,   8.71850401E-02 ,   2.94355322E-02
        2025 ,   9.01869982E-02 ,   2.97677331E-02
        2050 ,   9.28680897E-02 ,   3.00316848E-02
        2075 ,   9.53121632E-02 ,   3.02309375E-02
        2100 ,   9.71129313E-02 ,   3.03629711E-02
        2125 ,   9.84277427E-02 ,   3.04195695E-02
        2150 ,   9.92887020E-02 ,   3.04067321E-02
        2175 ,   9.92517620E-02 ,   3.03160138E-02
        2200 ,   9.85615030E-02 ,   3.01421080E-02
        2225 ,   9.76772085E-02 ,   2.98964866E-02
        2250 ,   9.59132835E-02 ,   2.95866709E-02
        2275 ,   9.39709321E-02 ,   2.91918125E-02
        2300 ,   9.14741009E-02 ,   2.87372526E-02
        2325 ,   8.84915143E-02 ,   2.82409508E-02
        2350 ,   8.55992734E-02 ,   2.77311672E-02
        2375 ,   8.24039355E-02 ,   2.72264145E-02
        2400 ,   7.95997083E-02 ,   2.67468989E-02
        2425 ,   7.70068541E-02 ,   2.63014436E-02
        2450 ,   7.43754953E-02 ,   2.58981213E-02
        2475 ,   7.22605437E-02 ,   2.55351439E-02
        2500 ,   7.05585331E-02 ,   2.52144076E-02
        2525 ,   6.91437349E-02 ,   2.49327216E-02
        2550 ,   6.85222819E-02 ,   2.46840492E-02
        2575 ,   6.82004020E-02 ,   2.44683065E-02
        2600 ,   6.80276379E-02 ,   2.42768377E-02
        2625 ,   6.82421401E-02 ,   2.41004080E-02
        2650 ,   6.86783046E-02 ,   2.39326246E-02
        2675 ,   6.92649484E-02 ,   2.37590354E-02
        2700 ,   6.97678477E-02 ,   2.35746298E-02
        2725 ,   7.03697652E-02 ,   2.33749859E-02
        2750 ,   7.10617006E-02 ,   2.31539961E-02
        2775 ,   7.16505423E-02 ,   2.29074787E-02
        2800 ,   7.20425174E-02 ,   2.26380248E-02
        2825 ,   7.25934207E-02 ,   2.23435443E-02
