 STEP_COUNT,CLIFT,CDRAG
          25 ,   8.11066553E-02 ,   4.36554812E-02
          50 ,  0.173545823     ,   7.70601854E-02
          75 ,  0.269423991     ,  0.111396395    
         100 ,  0.352398276     ,  0.140985370    
         125 ,  0.422574908     ,  0.166223437    
         150 ,  0.486170799     ,  0.189161733    
         175 ,  0.543366849     ,  0.209796011    
         200 ,  0.584713697     ,  0.224760845    
         225 ,  0.612405121     ,  0.234673321    
         250 ,  0.634750485     ,  0.242677450    
         275 ,  0.643603086     ,  0.245888472    
         300 ,  0.646349072     ,  0.246830851    
         325 ,  0.644419432     ,  0.246178195    
         350 ,  0.639729917     ,  0.244578764    
         375 ,  0.631482780     ,  0.241654262    
         400 ,  0.621699035     ,  0.238230184    
         425 ,  0.608778059     ,  0.233706430    
         450 ,  0.595206499     ,  0.228775635    
         475 ,  0.580092609     ,  0.223280266    
         500 ,  0.564240098     ,  0.217562422    
         525 ,  0.549006104     ,  0.211890057    
         550 ,  0.534296334     ,  0.206292704    
         575 ,  0.519941688     ,  0.200868249    
         600 ,  0.505997717     ,  0.195590764    
         625 ,  0.493315369     ,  0.190759242    
         650 ,  0.482594132     ,  0.186584041    
         675 ,  0.473957986     ,  0.183261022    
         700 ,  0.468542367     ,  0.180864811    
         725 ,  0.464732528     ,  0.179224715    
         750 ,  0.462883800     ,  0.178116664    
         775 ,  0.461803973     ,  0.177340344    
         800 ,  0.461228490     ,  0.176688999    
         825 ,  0.459874958     ,  0.175862253    
         850 ,  0.457264453     ,  0.174664527    
         875 ,  0.453211099     ,  0.173020646    
         900 ,  0.447839588     ,  0.170942605    
         925 ,  0.441566169     ,  0.168509841    
         950 ,  0.434331506     ,  0.165862277    
         975 ,  0.426863104     ,  0.163165718    
        1000 ,  0.419914722     ,  0.160599366    
        1025 ,  0.413873881     ,  0.158360422    
        1050 ,  0.409256041     ,  0.156716675    
        1075 ,  0.407180667     ,  0.155919731    
        1100 ,  0.408053368     ,  0.156232834    
