 STEP_COUNT,CLIFT,CDRAG
          25 ,   7.50215426E-02 ,   4.21963744E-02
          50 ,  0.157659486     ,   7.23096281E-02
          75 ,  0.242176533     ,  0.102786861    
         100 ,  0.317538261     ,  0.129842833    
         125 ,  0.382516831     ,  0.153369993    
         150 ,  0.440638244     ,  0.174248144    
         175 ,  0.495180875     ,  0.193862870    
         200 ,  0.538306713     ,  0.209221944    
         225 ,  0.571000099     ,  0.220847771    
         250 ,  0.599850774     ,  0.231143802    
         275 ,  0.615972519     ,  0.236879766    
         300 ,  0.623686790     ,  0.239486724    
         325 ,  0.626033425     ,  0.240221411    
         350 ,  0.622833192     ,  0.239038557    
         375 ,  0.616253734     ,  0.236664474    
         400 ,  0.607935607     ,  0.233703762    
         425 ,  0.597371280     ,  0.229976103    
         450 ,  0.584633112     ,  0.225537971    
         475 ,  0.570840001     ,  0.220653012    
         500 ,  0.556110620     ,  0.215485498    
         525 ,  0.541225374     ,  0.210085467    
         550 ,  0.526738703     ,  0.204888463    
         575 ,  0.513091207     ,  0.199954510    
         600 ,  0.500280142     ,  0.195242450    
         625 ,  0.488864392     ,  0.190802157    
         650 ,  0.478698224     ,  0.186700001    
         675 ,  0.469260097     ,  0.182792708    
         700 ,  0.460371524     ,  0.179056764    
         725 ,  0.452004999     ,  0.175586998    
         750 ,  0.443660647     ,  0.172289625    
         775 ,  0.437017709     ,  0.169479132    
         800 ,  0.431613833     ,  0.167251214    
         825 ,  0.427827090     ,  0.165501297    
         850 ,  0.425226867     ,  0.164223999    
         875 ,  0.424318671     ,  0.163382009    
         900 ,  0.423615217     ,  0.162852198    
         925 ,  0.423831046     ,  0.162504166    
         950 ,  0.423651278     ,  0.162098408    
         975 ,  0.422702074     ,  0.161525562    
        1000 ,  0.420697123     ,  0.160729483    
        1025 ,  0.418543577     ,  0.159769341    
        1050 ,  0.415290743     ,  0.158741161    
        1075 ,  0.412351638     ,  0.157680213    
        1100 ,  0.409561396     ,  0.156613201    
        1125 ,  0.406509817     ,  0.155519813    
        1150 ,  0.403197318     ,  0.154458165    
        1175 ,  0.400501609     ,  0.153461233    
        1200 ,  0.398016542     ,  0.152672991    
        1225 ,  0.396680295     ,  0.152247533    
        1250 ,  0.396965235     ,  0.152376249    
        1275 ,  0.399219364     ,  0.153228104    
        1300 ,  0.403960526     ,  0.154979959    
        1325 ,  0.411728889     ,  0.157794803    
        1350 ,  0.423203468     ,  0.161756963    
        1375 ,  0.437108010     ,  0.166807920    
        1400 ,  0.454567999     ,  0.172789186    
        1425 ,  0.473561287     ,  0.179374188    
        1450 ,  0.493239909     ,  0.186296344    
        1475 ,  0.513624907     ,  0.193292126    
        1500 ,  0.533106208     ,  0.200005159    
        1525 ,  0.550988972     ,  0.206230789    
        1550 ,  0.567234457     ,  0.211782351    
        1575 ,  0.580853939     ,  0.216536582    
        1600 ,  0.591830075     ,  0.220298082    
        1625 ,  0.599887609     ,  0.222957864    
        1650 ,  0.604191482     ,  0.224400744    
        1675 ,  0.604983628     ,  0.224654973    
        1700 ,  0.602706850     ,  0.223852098    
        1725 ,  0.597729862     ,  0.222139731    
        1750 ,  0.590965033     ,  0.219744414    
        1775 ,  0.582839489     ,  0.216836810    
        1800 ,  0.573503911     ,  0.213628486    
        1825 ,  0.564113021     ,  0.210296512    
        1850 ,  0.554684699     ,  0.206956521    
        1875 ,  0.545359492     ,  0.203674078    
        1900 ,  0.536627710     ,  0.200560898    
        1925 ,  0.529063582     ,  0.197711542    
        1950 ,  0.522011399     ,  0.195197001    
        1975 ,  0.516176224     ,  0.193057314    
        2000 ,  0.511436164     ,  0.191299140    
        2025 ,  0.507911623     ,  0.189901799    
        2050 ,  0.505075037     ,  0.188847974    
        2075 ,  0.503176868     ,  0.188078970    
        2100 ,  0.501796842     ,  0.187579840    
        2125 ,  0.501470745     ,  0.187362775    
        2150 ,  0.501603484     ,  0.187457681    
        2175 ,  0.502826691     ,  0.187876970    
        2200 ,  0.504937828     ,  0.188602820    
        2225 ,  0.507986963     ,  0.189634845    
        2250 ,  0.511547148     ,  0.190935329    
        2275 ,  0.515726924     ,  0.192445308    
        2300 ,  0.520616829     ,  0.194122508    
        2325 ,  0.525604606     ,  0.195888892    
        2350 ,  0.530443966     ,  0.197708726    
        2375 ,  0.535673797     ,  0.199533060    
        2400 ,  0.540947437     ,  0.201371804    
        2425 ,  0.546206176     ,  0.203204721    
        2450 ,  0.551258087     ,  0.205016389    
        2475 ,  0.556138217     ,  0.206785724    
        2500 ,  0.560908496     ,  0.208501071    
        2525 ,  0.565526903     ,  0.210168272    
        2550 ,  0.570165217     ,  0.211794958    
        2575 ,  0.574690580     ,  0.213365525    
        2600 ,  0.578966379     ,  0.214848295    
        2625 ,  0.582934082     ,  0.216235921    
        2650 ,  0.586313128     ,  0.217484221    
        2675 ,  0.589342356     ,  0.218620643    
        2700 ,  0.592182577     ,  0.219614416    
        2725 ,  0.594857931     ,  0.220488846    
        2750 ,  0.597165823     ,  0.221282318    
        2775 ,  0.599056959     ,  0.221999377    
        2800 ,  0.601073503     ,  0.222676113    
        2825 ,  0.602901161     ,  0.223298505    
        2850 ,  0.604516566     ,  0.223843187    
        2875 ,  0.605676830     ,  0.224286973    
        2900 ,  0.606673539     ,  0.224623412    
        2925 ,  0.607546687     ,  0.224866554    
        2950 ,  0.608100593     ,  0.224983394    
        2975 ,  0.608323693     ,  0.225011036    
        3000 ,  0.608148098     ,  0.224979773    
        3025 ,  0.607989013     ,  0.224901006    
        3050 ,  0.607734144     ,  0.224828809    
        3075 ,  0.607658207     ,  0.224791929    
        3100 ,  0.607646644     ,  0.224825069    
        3125 ,  0.608098447     ,  0.224950343    
        3150 ,  0.608914375     ,  0.225172535    
        3175 ,  0.609748721     ,  0.225508332    
        3200 ,  0.611267924     ,  0.225939274    
        3225 ,  0.612584054     ,  0.226470247    
        3250 ,  0.614162862     ,  0.227086425    
        3275 ,  0.616163969     ,  0.227789342    
        3300 ,  0.618373930     ,  0.228553295    
        3325 ,  0.620590746     ,  0.229342982    
        3350 ,  0.622758627     ,  0.230151981    
        3375 ,  0.625105917     ,  0.230954573    
        3400 ,  0.627019227     ,  0.231700584    
        3425 ,  0.628838360     ,  0.232384101    
        3450 ,  0.630310357     ,  0.232986167    
        3475 ,  0.631682336     ,  0.233475238    
        3500 ,  0.632753193     ,  0.233847365    
        3525 ,  0.633567035     ,  0.234115884    
        3550 ,  0.634013355     ,  0.234277591    
        3575 ,  0.634156466     ,  0.234350294    
        3600 ,  0.634243429     ,  0.234381273    
        3625 ,  0.634266496     ,  0.234382600    
        3650 ,  0.634226739     ,  0.234388262    
        3675 ,  0.634329617     ,  0.234412387    
        3700 ,  0.634784341     ,  0.234469190    
        3725 ,  0.635064602     ,  0.234583408    
        3750 ,  0.635619104     ,  0.234768629    
        3775 ,  0.636370659     ,  0.235028833    
        3800 ,  0.637388766     ,  0.235391796    
        3825 ,  0.638672173     ,  0.235864177    
        3850 ,  0.640384078     ,  0.236452147    
        3875 ,  0.642212093     ,  0.237155616    
        3900 ,  0.644506037     ,  0.237946048    
        3925 ,  0.646936655     ,  0.238838926    
        3950 ,  0.649789512     ,  0.239796102    
        3975 ,  0.652541697     ,  0.240809083    
        4000 ,  0.655347645     ,  0.241851687    
        4025 ,  0.658149600     ,  0.242904887    
        4050 ,  0.661148369     ,  0.243978202    
        4075 ,  0.664120972     ,  0.245039001    
        4100 ,  0.666860938     ,  0.246079087    
        4125 ,  0.669784844     ,  0.247120917    
        4150 ,  0.672412872     ,  0.248119056    
        4175 ,  0.675048113     ,  0.249101564    
