 STEP_COUNT,CLIFT,CDRAG
          25 ,   1.82774272E-02 ,   1.35739902E-02
          50 ,   3.98391560E-02 ,   1.55486371E-02
          75 ,   6.07996285E-02 ,   1.74145456E-02
         100 ,   7.97792897E-02 ,   1.90408472E-02
         125 ,   9.73716080E-02 ,   2.05204468E-02
         150 ,  0.113643922     ,   2.17934325E-02
         175 ,  0.126813635     ,   2.28092335E-02
         200 ,  0.136656329     ,   2.34902296E-02
         225 ,  0.143414587     ,   2.39390898E-02
         250 ,  0.148155183     ,   2.42587812E-02
         275 ,  0.150633723     ,   2.43895948E-02
         300 ,  0.152028978     ,   2.43970975E-02
         325 ,  0.151308119     ,   2.42876280E-02
         350 ,  0.149286449     ,   2.40310412E-02
         375 ,  0.145654455     ,   2.36768387E-02
         400 ,  0.140248299     ,   2.32082158E-02
         425 ,  0.133624747     ,   2.26570964E-02
         450 ,  0.127101451     ,   2.20936202E-02
         475 ,  0.120494530     ,   2.15279646E-02
         500 ,  0.113894597     ,   2.09550727E-02
         525 ,  0.107830867     ,   2.03834325E-02
         550 ,  0.102078080     ,   1.98088195E-02
         575 ,   9.68406424E-02 ,   1.92546155E-02
         600 ,   9.21104178E-02 ,   1.87618397E-02
         625 ,   8.78560916E-02 ,   1.83366761E-02
         650 ,   8.43033046E-02 ,   1.79950129E-02
         675 ,   8.10372382E-02 ,   1.77243054E-02
         700 ,   7.83563033E-02 ,   1.75099727E-02
         725 ,   7.65310526E-02 ,   1.73695572E-02
         750 ,   7.52316564E-02 ,   1.72943398E-02
         775 ,   7.47763440E-02 ,   1.72641780E-02
         800 ,   7.43362457E-02 ,   1.72537919E-02
         825 ,   7.45216459E-02 ,   1.72574166E-02
         850 ,   7.42099136E-02 ,   1.72568969E-02
         875 ,   7.38662556E-02 ,   1.72395222E-02
         900 ,   7.34403804E-02 ,   1.72136351E-02
         925 ,   7.30670616E-02 ,   1.71901286E-02
         950 ,   7.28822574E-02 ,   1.71934832E-02
         975 ,   7.32357055E-02 ,   1.72271729E-02
        1000 ,   7.39512667E-02 ,   1.72775108E-02
        1025 ,   7.48023763E-02 ,   1.73401516E-02
        1050 ,   7.61478022E-02 ,   1.74149889E-02
        1075 ,   7.77789876E-02 ,   1.75123736E-02
        1100 ,   7.98050389E-02 ,   1.76351648E-02
        1125 ,   8.23399648E-02 ,   1.77813862E-02
        1150 ,   8.48395228E-02 ,   1.79460850E-02
        1175 ,   8.78735632E-02 ,   1.81301869E-02
        1200 ,   9.13108811E-02 ,   1.83394495E-02
        1225 ,   9.47301537E-02 ,   1.85559895E-02
        1250 ,   9.82436687E-02 ,   1.87590197E-02
        1275 ,  0.101193212     ,   1.89301968E-02
        1300 ,  0.103611954     ,   1.90515984E-02
        1325 ,  0.105391592     ,   1.91168133E-02
        1350 ,  0.106365852     ,   1.91164128E-02
        1375 ,  0.106667846     ,   1.90530363E-02
        1400 ,  0.106141984     ,   1.89348198E-02
        1425 ,  0.104740135     ,   1.87671259E-02
        1450 ,  0.102583908     ,   1.85582209E-02
        1475 ,  0.100033812     ,   1.83216296E-02
        1500 ,   9.68446955E-02 ,   1.80683620E-02
        1525 ,   9.38586518E-02 ,   1.78112704E-02
        1550 ,   9.06936377E-02 ,   1.75637770E-02
        1575 ,   8.77674371E-02 ,   1.73368696E-02
        1600 ,   8.53353739E-02 ,   1.71379074E-02
        1625 ,   8.33634511E-02 ,   1.69763211E-02
        1650 ,   8.18568841E-02 ,   1.68459136E-02
        1675 ,   8.06283653E-02 ,   1.67502537E-02
        1700 ,   8.00419748E-02 ,   1.66883469E-02
        1725 ,   7.97903687E-02 ,   1.66612715E-02
        1750 ,   7.99393728E-02 ,   1.66701730E-02
        1775 ,   8.05514902E-02 ,   1.67068820E-02
        1800 ,   8.15134272E-02 ,   1.67653300E-02
        1825 ,   8.25503543E-02 ,   1.68370027E-02
        1850 ,   8.38355720E-02 ,   1.69110131E-02
        1875 ,   8.52923021E-02 ,   1.69813093E-02
        1900 ,   8.63189921E-02 ,   1.70366950E-02
        1925 ,   8.70303512E-02 ,   1.70733836E-02
        1950 ,   8.75553340E-02 ,   1.70858148E-02
        1975 ,   8.77380371E-02 ,   1.70726459E-02
        2000 ,   8.75073150E-02 ,   1.70376897E-02
        2025 ,   8.70057493E-02 ,   1.69765111E-02
        2050 ,   8.63419771E-02 ,   1.68932937E-02
        2075 ,   8.52572396E-02 ,   1.67895090E-02
        2100 ,   8.40190351E-02 ,   1.66724753E-02
        2125 ,   8.27681720E-02 ,   1.65463518E-02
        2150 ,   8.15242901E-02 ,   1.64143275E-02
        2175 ,   8.00305456E-02 ,   1.62859634E-02
        2200 ,   7.90010467E-02 ,   1.61627326E-02
        2225 ,   7.77513757E-02 ,   1.60472430E-02
        2250 ,   7.66491443E-02 ,   1.59432795E-02
        2275 ,   7.58183151E-02 ,   1.58545393E-02
        2300 ,   7.51750842E-02 ,   1.57804359E-02
        2325 ,   7.47866631E-02 ,   1.57218147E-02
        2350 ,   7.43925050E-02 ,   1.56780444E-02
        2375 ,   7.42465556E-02 ,   1.56434998E-02
        2400 ,   7.45275766E-02 ,   1.56159783E-02
        2425 ,   7.48310015E-02 ,   1.56000154E-02
        2450 ,   7.53628537E-02 ,   1.55953709E-02
        2475 ,   7.58271664E-02 ,   1.56001588E-02
        2500 ,   7.66230822E-02 ,   1.56126693E-02
        2525 ,   7.74126500E-02 ,   1.56341530E-02
        2550 ,   7.83498138E-02 ,   1.56642869E-02
        2575 ,   7.92540163E-02 ,   1.57048348E-02
        2600 ,   8.02174807E-02 ,   1.57578494E-02
        2625 ,   8.13515112E-02 ,   1.58187021E-02
        2650 ,   8.23849887E-02 ,   1.58846341E-02
        2675 ,   8.33878890E-02 ,   1.59478951E-02
        2700 ,   8.42594132E-02 ,   1.60079822E-02
        2725 ,   8.52307826E-02 ,   1.60636380E-02
        2750 ,   8.59436616E-02 ,   1.61145311E-02
        2775 ,   8.66528228E-02 ,   1.61604341E-02
        2800 ,   8.72142315E-02 ,   1.61984023E-02
        2825 ,   8.77242088E-02 ,   1.62289888E-02
        2850 ,   8.81458819E-02 ,   1.62518714E-02
        2875 ,   8.86481404E-02 ,   1.62753537E-02
        2900 ,   8.93117040E-02 ,   1.62980817E-02
        2925 ,   9.00251865E-02 ,   1.63229201E-02
        2950 ,   9.05562341E-02 ,   1.63469873E-02
        2975 ,   9.12691206E-02 ,   1.63719077E-02
        3000 ,   9.18625966E-02 ,   1.63965095E-02
        3025 ,   9.24504101E-02 ,   1.64203010E-02
        3050 ,   9.30765793E-02 ,   1.64408106E-02
        3075 ,   9.36445296E-02 ,   1.64580625E-02
        3100 ,   9.39622819E-02 ,   1.64706595E-02
        3125 ,   9.42791253E-02 ,   1.64792929E-02
        3150 ,   9.45743695E-02 ,   1.64836198E-02
        3175 ,   9.50751603E-02 ,   1.64864622E-02
        3200 ,   9.52117741E-02 ,   1.64857432E-02
        3225 ,   9.54551995E-02 ,   1.64838396E-02
        3250 ,   9.55351517E-02 ,   1.64793395E-02
        3275 ,   9.56796706E-02 ,   1.64735857E-02
        3300 ,   9.58524868E-02 ,   1.64660700E-02
        3325 ,   9.60564613E-02 ,   1.64586492E-02
        3350 ,   9.60951373E-02 ,   1.64472610E-02
        3375 ,   9.60442871E-02 ,   1.64336581E-02
        3400 ,   9.59540680E-02 ,   1.64161231E-02
        3425 ,   9.60155651E-02 ,   1.63970888E-02
        3450 ,   9.58427712E-02 ,   1.63744688E-02
        3475 ,   9.57751200E-02 ,   1.63537581E-02
        3500 ,   9.56250355E-02 ,   1.63337216E-02
        3525 ,   9.56446454E-02 ,   1.63186993E-02
        3550 ,   9.55982506E-02 ,   1.63078997E-02
        3575 ,   9.56548452E-02 ,   1.63045507E-02
        3600 ,   9.58153903E-02 ,   1.63071472E-02
        3625 ,   9.59334373E-02 ,   1.63188633E-02
        3650 ,   9.62413624E-02 ,   1.63381211E-02
        3675 ,   9.66784060E-02 ,   1.63628291E-02
        3700 ,   9.70424414E-02 ,   1.63945686E-02
        3725 ,   9.74974930E-02 ,   1.64308380E-02
        3750 ,   9.79926139E-02 ,   1.64721292E-02
        3775 ,   9.85247567E-02 ,   1.65187251E-02
        3800 ,   9.90860015E-02 ,   1.65709797E-02
        3825 ,   9.98499766E-02 ,   1.66278947E-02
        3850 ,  0.100447983     ,   1.66871231E-02
        3875 ,  0.101115279     ,   1.67507380E-02
        3900 ,  0.101705700     ,   1.68182608E-02
        3925 ,  0.102431297     ,   1.68843977E-02
        3950 ,  0.103133522     ,   1.69527251E-02
        3975 ,  0.103822820     ,   1.70206595E-02
        4000 ,  0.104558885     ,   1.70872416E-02
        4025 ,  0.105187684     ,   1.71544515E-02
        4050 ,  0.105892718     ,   1.72201302E-02
        4075 ,  0.106651314     ,   1.72830448E-02
        4100 ,  0.107180305     ,   1.73421279E-02
        4125 ,  0.107633680     ,   1.73976272E-02
        4150 ,  0.108077876     ,   1.74490660E-02
        4175 ,  0.108497769     ,   1.74928419E-02
        4200 ,  0.108827353     ,   1.75333545E-02
        4225 ,  0.108973101     ,   1.75646804E-02
        4250 ,  0.109121636     ,   1.75886694E-02
        4275 ,  0.109102160     ,   1.76013634E-02
        4300 ,  0.109099880     ,   1.76054183E-02
        4325 ,  0.108913958     ,   1.76014211E-02
        4350 ,  0.108706668     ,   1.75900757E-02
        4375 ,  0.108308904     ,   1.75712723E-02
        4400 ,  0.107990950     ,   1.75487623E-02
        4425 ,  0.107692301     ,   1.75221637E-02
        4450 ,  0.107185274     ,   1.74959954E-02
        4475 ,  0.106824741     ,   1.74693801E-02
        4500 ,  0.106359035     ,   1.74434613E-02
        4525 ,  0.106082812     ,   1.74179394E-02
        4550 ,  0.105661884     ,   1.73946228E-02
        4575 ,  0.105300255     ,   1.73691418E-02
        4600 ,  0.104899287     ,   1.73444115E-02
        4625 ,  0.104503520     ,   1.73164904E-02
        4650 ,  0.104051813     ,   1.72852222E-02
        4675 ,  0.103546329     ,   1.72515698E-02
        4700 ,  0.103107259     ,   1.72153600E-02
        4725 ,  0.102567464     ,   1.71749033E-02
        4750 ,  0.101884723     ,   1.71291735E-02
        4775 ,  0.101259232     ,   1.70794949E-02
        4800 ,  0.100587890     ,   1.70259811E-02
        4825 ,   9.97994691E-02 ,   1.69701762E-02
        4850 ,   9.92229879E-02 ,   1.69115905E-02
        4875 ,   9.84163806E-02 ,   1.68536827E-02
        4900 ,   9.77472216E-02 ,   1.67948436E-02
        4925 ,   9.70389470E-02 ,   1.67395025E-02
        4950 ,   9.62867215E-02 ,   1.66851841E-02
        4975 ,   9.57822204E-02 ,   1.66358966E-02
        5000 ,   9.52918530E-02 ,   1.65899675E-02
        5025 ,   9.48435813E-02 ,   1.65473446E-02
        5050 ,   9.44094211E-02 ,   1.65099092E-02
        5075 ,   9.39003676E-02 ,   1.64762978E-02
        5100 ,   9.36306193E-02 ,   1.64452828E-02
        5125 ,   9.34678465E-02 ,   1.64184365E-02
        5150 ,   9.30766389E-02 ,   1.63932089E-02
        5175 ,   9.28363800E-02 ,   1.63665731E-02
        5200 ,   9.26174298E-02 ,   1.63427051E-02
        5225 ,   9.23724920E-02 ,   1.63191408E-02
        5250 ,   9.21816602E-02 ,   1.62953958E-02
        5275 ,   9.20282975E-02 ,   1.62743237E-02
        5300 ,   9.18892547E-02 ,   1.62527021E-02
        5325 ,   9.16823968E-02 ,   1.62350498E-02
        5350 ,   9.15364027E-02 ,   1.62167251E-02
        5375 ,   9.15207341E-02 ,   1.62031092E-02
        5400 ,   9.14337933E-02 ,   1.61913857E-02
        5425 ,   9.12693590E-02 ,   1.61824729E-02
        5450 ,   9.12867263E-02 ,   1.61772333E-02
        5475 ,   9.12135839E-02 ,   1.61768142E-02
        5500 ,   9.12247226E-02 ,   1.61781758E-02
        5525 ,   9.13168415E-02 ,   1.61838196E-02
        5550 ,   9.14869383E-02 ,   1.61947757E-02
        5575 ,   9.16013122E-02 ,   1.62101891E-02
        5600 ,   9.18733925E-02 ,   1.62313990E-02
        5625 ,   9.21258554E-02 ,   1.62556060E-02
        5650 ,   9.25623849E-02 ,   1.62833035E-02
        5675 ,   9.29193050E-02 ,   1.63177215E-02
        5700 ,   9.34451073E-02 ,   1.63542200E-02
        5725 ,   9.38855633E-02 ,   1.63954832E-02
        5750 ,   9.43656787E-02 ,   1.64384730E-02
        5775 ,   9.49896201E-02 ,   1.64861437E-02
        5800 ,   9.55713317E-02 ,   1.65351648E-02
        5825 ,   9.62033495E-02 ,   1.65843870E-02
        5850 ,   9.67925191E-02 ,   1.66349132E-02
        5875 ,   9.73671600E-02 ,   1.66838057E-02
        5900 ,   9.80277732E-02 ,   1.67329442E-02
        5925 ,   9.86144841E-02 ,   1.67826358E-02
        5950 ,   9.92820412E-02 ,   1.68293659E-02
        5975 ,   9.97934565E-02 ,   1.68753471E-02
        6000 ,  0.100180544     ,   1.69190634E-02
        6025 ,  0.100624539     ,   1.69630628E-02
        6050 ,  0.101039708     ,   1.70021169E-02
        6075 ,  0.101572745     ,   1.70423593E-02
        6100 ,  0.101915561     ,   1.70799401E-02
        6125 ,  0.102329358     ,   1.71147604E-02
        6150 ,  0.102579139     ,   1.71480831E-02
        6175 ,  0.102901325     ,   1.71792991E-02
        6200 ,  0.103219762     ,   1.72095317E-02
        6225 ,  0.103469327     ,   1.72374863E-02
        6250 ,  0.103757694     ,   1.72661170E-02
        6275 ,  0.103992730     ,   1.72934905E-02
        6300 ,  0.104226984     ,   1.73199531E-02
        6325 ,  0.104522325     ,   1.73458960E-02
        6350 ,  0.104810432     ,   1.73702072E-02
        6375 ,  0.104979746     ,   1.73939690E-02
        6400 ,  0.105268508     ,   1.74191538E-02
        6425 ,  0.105487578     ,   1.74408853E-02
        6450 ,  0.105794288     ,   1.74642634E-02
        6475 ,  0.105950817     ,   1.74849816E-02
        6500 ,  0.106087208     ,   1.75046884E-02
        6525 ,  0.106290698     ,   1.75249204E-02
