 STEP_COUNT,CLIFT,CDRAG
          25 ,   1.37968352E-02 ,   1.56771019E-02
          50 ,   2.96751279E-02 ,   1.75587144E-02
          75 ,   4.54636849E-02 ,   1.93369128E-02
         100 ,   5.91662712E-02 ,   2.10009031E-02
         125 ,   7.16666430E-02 ,   2.25588791E-02
         150 ,   8.31964836E-02 ,   2.39889957E-02
         175 ,   9.35417414E-02 ,   2.53202114E-02
         200 ,  0.102002926     ,   2.65194494E-02
         225 ,  0.109334290     ,   2.75634285E-02
         250 ,  0.115308061     ,   2.84950491E-02
         275 ,  0.120500237     ,   2.93649659E-02
         300 ,  0.125031754     ,   3.01544722E-02
         325 ,  0.128642663     ,   3.08496840E-02
         350 ,  0.131609723     ,   3.14297155E-02
         375 ,  0.133759275     ,   3.18556391E-02
         400 ,  0.134774670     ,   3.21557969E-02
         425 ,  0.134966299     ,   3.23930793E-02
         450 ,  0.134438366     ,   3.25234085E-02
         475 ,  0.133313522     ,   3.26130912E-02
         500 ,  0.131796375     ,   3.26753668E-02
         525 ,  0.129963577     ,   3.26575674E-02
         550 ,  0.127994418     ,   3.25173922E-02
         575 ,  0.125808328     ,   3.22983004E-02
         600 ,  0.123619899     ,   3.20326574E-02
         625 ,  0.121362954     ,   3.17278802E-02
         650 ,  0.118871637     ,   3.13375033E-02
         675 ,  0.115760550     ,   3.08606401E-02
         700 ,  0.112765625     ,   3.03339120E-02
         725 ,  0.109806716     ,   2.97605228E-02
         750 ,  0.106839880     ,   2.91603673E-02
         775 ,  0.104383186     ,   2.85700858E-02
         800 ,  0.102252737     ,   2.79862620E-02
         825 ,  0.100364007     ,   2.73970440E-02
         850 ,   9.85119790E-02 ,   2.68020220E-02
         875 ,   9.63148177E-02 ,   2.62010470E-02
         900 ,   9.47253928E-02 ,   2.55968589E-02
         925 ,   9.31367353E-02 ,   2.50003487E-02
         950 ,   9.16025862E-02 ,   2.44216509E-02
         975 ,   9.02613923E-02 ,   2.38919687E-02
        1000 ,   8.90909135E-02 ,   2.34415364E-02
        1025 ,   8.81040916E-02 ,   2.30548568E-02
        1050 ,   8.73569995E-02 ,   2.27106195E-02
        1075 ,   8.65145698E-02 ,   2.23974418E-02
        1100 ,   8.61074701E-02 ,   2.21209470E-02
        1125 ,   8.58312845E-02 ,   2.18965728E-02
        1150 ,   8.58972222E-02 ,   2.17314288E-02
        1175 ,   8.60702395E-02 ,   2.16077268E-02
        1200 ,   8.63281861E-02 ,   2.15142705E-02
        1225 ,   8.65756869E-02 ,   2.14401148E-02
        1250 ,   8.70434716E-02 ,   2.13696193E-02
        1275 ,   8.69099125E-02 ,   2.12891530E-02
        1300 ,   8.69555697E-02 ,   2.11969204E-02
        1325 ,   8.61683264E-02 ,   2.11011060E-02
        1350 ,   8.50106180E-02 ,   2.09961198E-02
        1375 ,   8.40423703E-02 ,   2.08923910E-02
        1400 ,   8.28414634E-02 ,   2.08083820E-02
        1425 ,   8.15435275E-02 ,   2.07576379E-02
        1450 ,   8.06215778E-02 ,   2.07401607E-02
        1475 ,   7.94416443E-02 ,   2.07477398E-02
        1500 ,   7.86683410E-02 ,   2.07792595E-02
        1525 ,   7.81750977E-02 ,   2.08396912E-02
        1550 ,   7.76811391E-02 ,   2.09253002E-02
        1575 ,   7.79950172E-02 ,   2.10376065E-02
        1600 ,   7.82959163E-02 ,   2.11700927E-02
        1625 ,   7.88789913E-02 ,   2.13317629E-02
        1650 ,   7.97736943E-02 ,   2.15103794E-02
        1675 ,   8.09801146E-02 ,   2.17215847E-02
        1700 ,   8.30261335E-02 ,   2.19493117E-02
        1725 ,   8.51874053E-02 ,   2.21992489E-02
        1750 ,   8.79383981E-02 ,   2.24615373E-02
        1775 ,   9.08300504E-02 ,   2.27290597E-02
        1800 ,   9.43404809E-02 ,   2.29784586E-02
        1825 ,   9.76815522E-02 ,   2.32092999E-02
        1850 ,  0.101195551     ,   2.34298781E-02
        1875 ,  0.104789048     ,   2.36439705E-02
        1900 ,  0.108355045     ,   2.38479767E-02
        1925 ,  0.111870527     ,   2.40415856E-02
        1950 ,  0.115200162     ,   2.42045242E-02
        1975 ,  0.118001349     ,   2.43405681E-02
        2000 ,  0.120555662     ,   2.44572982E-02
        2025 ,  0.122995831     ,   2.45394651E-02
        2050 ,  0.124709755     ,   2.45870501E-02
        2075 ,  0.126206160     ,   2.45977622E-02
        2100 ,  0.127116367     ,   2.45762784E-02
        2125 ,  0.127830267     ,   2.45378278E-02
        2150 ,  0.128066406     ,   2.44725440E-02
        2175 ,  0.128122270     ,   2.43935939E-02
        2200 ,  0.127731532     ,   2.42933463E-02
        2225 ,  0.126826629     ,   2.41646878E-02
        2250 ,  0.125521317     ,   2.40085088E-02
        2275 ,  0.123831071     ,   2.38076113E-02
        2300 ,  0.121797189     ,   2.35715434E-02
        2325 ,  0.119361818     ,   2.33013351E-02
        2350 ,  0.116592720     ,   2.30050851E-02
        2375 ,  0.113528073     ,   2.26806439E-02
        2400 ,  0.110585071     ,   2.23344173E-02
        2425 ,  0.107406855     ,   2.19765250E-02
        2450 ,  0.103996702     ,   2.16113068E-02
        2475 ,  0.100736119     ,   2.12468468E-02
        2500 ,   9.75961387E-02 ,   2.08865721E-02
        2525 ,   9.47019979E-02 ,   2.05332600E-02
        2550 ,   9.24907178E-02 ,   2.01980826E-02
        2575 ,   9.02579352E-02 ,   1.98908448E-02
        2600 ,   8.83236006E-02 ,   1.96170192E-02
        2625 ,   8.66109058E-02 ,   1.93698835E-02
        2650 ,   8.48957226E-02 ,   1.91546101E-02
        2675 ,   8.36668164E-02 ,   1.89506076E-02
        2700 ,   8.24776217E-02 ,   1.87583566E-02
        2725 ,   8.17226470E-02 ,   1.85714718E-02
        2750 ,   8.09869468E-02 ,   1.83969215E-02
        2775 ,   8.04430917E-02 ,   1.82378553E-02
        2800 ,   7.96981826E-02 ,   1.81008149E-02
        2825 ,   7.93550536E-02 ,   1.79843027E-02
        2850 ,   7.93096796E-02 ,   1.78819411E-02
        2875 ,   7.89101720E-02 ,   1.77976582E-02
        2900 ,   7.88068771E-02 ,   1.77264139E-02
        2925 ,   7.87305832E-02 ,   1.76640972E-02
        2950 ,   7.89994746E-02 ,   1.76146049E-02
        2975 ,   7.89433122E-02 ,   1.75669305E-02
        3000 ,   7.88558200E-02 ,   1.75202675E-02
        3025 ,   7.88686350E-02 ,   1.74779911E-02
        3050 ,   7.90767372E-02 ,   1.74306165E-02
        3075 ,   7.93807134E-02 ,   1.73871927E-02
        3100 ,   7.95366541E-02 ,   1.73387136E-02
        3125 ,   7.96664208E-02 ,   1.72835588E-02
        3150 ,   7.95677900E-02 ,   1.72195360E-02
        3175 ,   7.93488398E-02 ,   1.71475783E-02
        3200 ,   7.89041072E-02 ,   1.70673411E-02
        3225 ,   7.87341669E-02 ,   1.69808567E-02
        3250 ,   7.82285631E-02 ,   1.68884099E-02
        3275 ,   7.78825432E-02 ,   1.67961922E-02
        3300 ,   7.75605664E-02 ,   1.67009756E-02
        3325 ,   7.72481039E-02 ,   1.66116264E-02
        3350 ,   7.71115348E-02 ,   1.65254939E-02
        3375 ,   7.68646821E-02 ,   1.64536927E-02
        3400 ,   7.69160539E-02 ,   1.63976066E-02
        3425 ,   7.69326761E-02 ,   1.63595676E-02
        3450 ,   7.72681087E-02 ,   1.63397901E-02
        3475 ,   7.77834058E-02 ,   1.63361859E-02
        3500 ,   7.84314871E-02 ,   1.63514148E-02
        3525 ,   7.93426782E-02 ,   1.63810086E-02
        3550 ,   8.02567899E-02 ,   1.64218806E-02
        3575 ,   8.13027173E-02 ,   1.64761990E-02
        3600 ,   8.22375193E-02 ,   1.65381767E-02
        3625 ,   8.33092183E-02 ,   1.66045576E-02
        3650 ,   8.43925849E-02 ,   1.66723076E-02
        3675 ,   8.53809193E-02 ,   1.67377889E-02
        3700 ,   8.58440623E-02 ,   1.67956259E-02
        3725 ,   8.64776894E-02 ,   1.68489236E-02
        3750 ,   8.68342072E-02 ,   1.68905072E-02
        3775 ,   8.70961770E-02 ,   1.69249158E-02
        3800 ,   8.71246830E-02 ,   1.69426687E-02
        3825 ,   8.72109458E-02 ,   1.69468205E-02
        3850 ,   8.67991447E-02 ,   1.69374906E-02
        3875 ,   8.65459666E-02 ,   1.69175081E-02
        3900 ,   8.59153494E-02 ,   1.68884788E-02
        3925 ,   8.52045864E-02 ,   1.68472324E-02
        3950 ,   8.42721835E-02 ,   1.67955775E-02
        3975 ,   8.33707973E-02 ,   1.67382881E-02
        4000 ,   8.22420046E-02 ,   1.66714732E-02
        4025 ,   8.15549046E-02 ,   1.66024156E-02
        4050 ,   8.03864524E-02 ,   1.65294241E-02
        4075 ,   7.95338228E-02 ,   1.64531581E-02
        4100 ,   7.87849054E-02 ,   1.63769890E-02
        4125 ,   7.79912844E-02 ,   1.63074192E-02
        4150 ,   7.73718581E-02 ,   1.62412301E-02
        4175 ,   7.64802247E-02 ,   1.61874592E-02
        4200 ,   7.59368241E-02 ,   1.61423385E-02
        4225 ,   7.53721520E-02 ,   1.61080454E-02
        4250 ,   7.50081688E-02 ,   1.60900224E-02
        4275 ,   7.51334578E-02 ,   1.60861295E-02
        4300 ,   7.50353336E-02 ,   1.60970278E-02
        4325 ,   7.53932521E-02 ,   1.61279067E-02
        4350 ,   7.57352039E-02 ,   1.61721390E-02
        4375 ,   7.62657449E-02 ,   1.62352659E-02
        4400 ,   7.69789964E-02 ,   1.63083579E-02
        4425 ,   7.76761398E-02 ,   1.63927320E-02
        4450 ,   7.86996931E-02 ,   1.64891351E-02
        4475 ,   7.97375292E-02 ,   1.65918525E-02
        4500 ,   8.08800012E-02 ,   1.67012252E-02
        4525 ,   8.21088105E-02 ,   1.68137029E-02
        4550 ,   8.34150463E-02 ,   1.69287622E-02
        4575 ,   8.46571922E-02 ,   1.70480292E-02
        4600 ,   8.62394124E-02 ,   1.71662960E-02
        4625 ,   8.73933434E-02 ,   1.72829013E-02
        4650 ,   8.85111317E-02 ,   1.73990931E-02
        4675 ,   8.97302628E-02 ,   1.75119415E-02
        4700 ,   9.10220668E-02 ,   1.76196862E-02
        4725 ,   9.23162401E-02 ,   1.77232083E-02
        4750 ,   9.35306698E-02 ,   1.78211629E-02
        4775 ,   9.45209563E-02 ,   1.79170184E-02
        4800 ,   9.54991654E-02 ,   1.80059150E-02
        4825 ,   9.63288322E-02 ,   1.80862490E-02
        4850 ,   9.70386043E-02 ,   1.81634482E-02
        4875 ,   9.76568758E-02 ,   1.82292052E-02
        4900 ,   9.81507450E-02 ,   1.82950050E-02
        4925 ,   9.87607911E-02 ,   1.83536857E-02
        4950 ,   9.89770517E-02 ,   1.84054375E-02
        4975 ,   9.94841009E-02 ,   1.84514038E-02
        5000 ,   9.96956751E-02 ,   1.84949357E-02
        5025 ,  0.100036047     ,   1.85302254E-02
        5050 ,  0.100191861     ,   1.85595229E-02
