 STEP_COUNT,CLIFT,CDRAG
          25 ,   2.64001675E-02 ,   3.50304805E-02
          50 ,   5.69789559E-02 ,   5.67513481E-02
          75 ,   8.78555551E-02 ,   7.86018595E-02
         100 ,  0.121483780     ,  0.102105930    
         125 ,  0.156206131     ,  0.126608461    
         150 ,  0.191319659     ,  0.151097924    
         175 ,  0.225066930     ,  0.174709156    
         200 ,  0.257104814     ,  0.197078764    
         225 ,  0.287273228     ,  0.218182296    
         250 ,  0.315726817     ,  0.237962261    
         275 ,  0.342330337     ,  0.256554782    
         300 ,  0.367990285     ,  0.274495333    
         325 ,  0.393948346     ,  0.292460144    
         350 ,  0.420311838     ,  0.310750753    
         375 ,  0.446904749     ,  0.329265773    
         400 ,  0.473537117     ,  0.347771168    
         425 ,  0.499736398     ,  0.365932792    
         450 ,  0.524590552     ,  0.383086741    
         475 ,  0.546447754     ,  0.398281217    
         500 ,  0.564971387     ,  0.411182731    
         525 ,  0.581821740     ,  0.422867268    
         550 ,  0.598867297     ,  0.434727788    
         575 ,  0.616367936     ,  0.446963519    
         600 ,  0.633586645     ,  0.458821982    
         625 ,  0.648735523     ,  0.469411939    
         650 ,  0.661101580     ,  0.477902055    
         675 ,  0.670167983     ,  0.484312564    
         700 ,  0.678302109     ,  0.489958584    
         725 ,  0.686481535     ,  0.495711178    
         750 ,  0.694195032     ,  0.501128256    
         775 ,  0.700276971     ,  0.505496025    
         800 ,  0.704691291     ,  0.508513153    
         825 ,  0.707718432     ,  0.510692894    
         850 ,  0.710660577     ,  0.512770295    
         875 ,  0.713735580     ,  0.514792621    
         900 ,  0.715531409     ,  0.516217351    
         925 ,  0.716444910     ,  0.516743183    
         950 ,  0.716085613     ,  0.516652882    
         975 ,  0.715663850     ,  0.516370773    
        1000 ,  0.715159535     ,  0.515976131    
        1025 ,  0.714047253     ,  0.515191436    
        1050 ,  0.711829543     ,  0.513836086    
        1075 ,  0.709496379     ,  0.512107193    
        1100 ,  0.706951439     ,  0.510294497    
        1125 ,  0.704572320     ,  0.508611441    
        1150 ,  0.702064812     ,  0.506881118    
        1175 ,  0.699283600     ,  0.504949689    
        1200 ,  0.696207225     ,  0.502871931    
        1225 ,  0.693362892     ,  0.500840724    
        1250 ,  0.690810442     ,  0.498938441    
        1275 ,  0.688091218     ,  0.496975303    
        1300 ,  0.685353398     ,  0.494870543    
        1325 ,  0.682437062     ,  0.492656469    
        1350 ,  0.679457664     ,  0.490475774    
        1375 ,  0.676856458     ,  0.488301903    
        1400 ,  0.673888743     ,  0.485988855    
        1425 ,  0.670628130     ,  0.483527362    
        1450 ,  0.667832792     ,  0.481113225    
        1475 ,  0.665089786     ,  0.478888333    
        1500 ,  0.662703335     ,  0.476714522    
        1525 ,  0.660518587     ,  0.474543989    
        1550 ,  0.657992959     ,  0.472440571    
        1575 ,  0.655792654     ,  0.470585078    
        1600 ,  0.654461503     ,  0.468934119    
        1625 ,  0.653147817     ,  0.467445374    
        1650 ,  0.651507080     ,  0.466008395    
        1675 ,  0.650427520     ,  0.464624703    
        1700 ,  0.649351120     ,  0.463410199    
        1725 ,  0.648264945     ,  0.462382317    
        1750 ,  0.647328019     ,  0.461397380    
        1775 ,  0.646495461     ,  0.460396349    
        1800 ,  0.645420313     ,  0.459388137    
        1825 ,  0.644661307     ,  0.458523810    
        1850 ,  0.643973708     ,  0.457724839    
        1875 ,  0.643361509     ,  0.456978172    
        1900 ,  0.642732918     ,  0.456225783    
        1925 ,  0.642203033     ,  0.455485344    
        1950 ,  0.641564548     ,  0.454789400    
        1975 ,  0.641138792     ,  0.454256564    
        2000 ,  0.641385257     ,  0.453942716    
        2025 ,  0.641447008     ,  0.453830183    
        2050 ,  0.642249227     ,  0.453942329    
        2075 ,  0.643315315     ,  0.454335690    
        2100 ,  0.644673586     ,  0.455032557    
        2125 ,  0.646692455     ,  0.456024826    
        2150 ,  0.648708582     ,  0.457271516    
        2175 ,  0.651432216     ,  0.458696008    
        2200 ,  0.654103756     ,  0.460304141    
        2225 ,  0.656909883     ,  0.462064594    
        2250 ,  0.660078287     ,  0.463982344    
        2275 ,  0.663554609     ,  0.466017723    
        2300 ,  0.666899860     ,  0.468098044    
        2325 ,  0.670246363     ,  0.470182538    
        2350 ,  0.673761964     ,  0.472252429    
        2375 ,  0.676800072     ,  0.474259108    
        2400 ,  0.679575264     ,  0.476111740    
        2425 ,  0.682386875     ,  0.477767259    
        2450 ,  0.684482336     ,  0.479217857    
        2475 ,  0.687053144     ,  0.480438858    
        2500 ,  0.688360035     ,  0.481375247    
        2525 ,  0.689462602     ,  0.482047379    
        2550 ,  0.689871311     ,  0.482419729    
        2575 ,  0.690383136     ,  0.482516289    
        2600 ,  0.689920604     ,  0.482322425    
        2625 ,  0.689270198     ,  0.481828570    
        2650 ,  0.688399851     ,  0.481085986    
        2675 ,  0.686894000     ,  0.480099589    
        2700 ,  0.684996009     ,  0.478868753    
        2725 ,  0.682794392     ,  0.477441967    
        2750 ,  0.680401325     ,  0.475857794    
        2775 ,  0.677959561     ,  0.474116027    
        2800 ,  0.675135911     ,  0.472289115    
        2825 ,  0.672333658     ,  0.470323652    
        2850 ,  0.669209301     ,  0.468267888    
        2875 ,  0.666050792     ,  0.466187358    
        2900 ,  0.662995100     ,  0.464129120    
        2925 ,  0.659822166     ,  0.462082326    
        2950 ,  0.656858623     ,  0.460105866    
        2975 ,  0.653892934     ,  0.458261430    
        3000 ,  0.651275575     ,  0.456553251    
        3025 ,  0.649028599     ,  0.454990029    
