 STEP_COUNT,CLIFT,CDRAG
          25 ,   2.24108081E-02 ,   3.39100175E-02
          50 ,   4.86779734E-02 ,   5.24205603E-02
          75 ,   7.60387331E-02 ,   7.13610649E-02
         100 ,  0.104902595     ,   9.17940512E-02
         125 ,  0.133657515     ,  0.112422295    
         150 ,  0.161516145     ,  0.132353291    
         175 ,  0.187857449     ,  0.151308134    
         200 ,  0.213048711     ,  0.169370160    
         225 ,  0.237283215     ,  0.186829910    
         250 ,  0.260831743     ,  0.203915149    
         275 ,  0.284098625     ,  0.220760942    
         300 ,  0.306964576     ,  0.237407640    
         325 ,  0.329431266     ,  0.253907412    
         350 ,  0.351666391     ,  0.270272881    
         375 ,  0.373748153     ,  0.286428154    
         400 ,  0.394749850     ,  0.301880360    
         425 ,  0.413874507     ,  0.316028833    
         450 ,  0.431494921     ,  0.328641206    
         475 ,  0.447572529     ,  0.340047449    
         500 ,  0.463268965     ,  0.351040572    
         525 ,  0.479127258     ,  0.362099469    
         550 ,  0.494638950     ,  0.372904092    
         575 ,  0.508559883     ,  0.382701933    
         600 ,  0.520091891     ,  0.390770525    
         625 ,  0.528956115     ,  0.396902233    
         650 ,  0.535640121     ,  0.401677996    
         675 ,  0.541319847     ,  0.405811191    
         700 ,  0.546290219     ,  0.409388065    
         725 ,  0.549834371     ,  0.412072182    
         750 ,  0.551974118     ,  0.413641810    
         775 ,  0.552895844     ,  0.414355576    
         800 ,  0.553545237     ,  0.414544851    
         825 ,  0.553594291     ,  0.414280504    
         850 ,  0.552863002     ,  0.413362771    
         875 ,  0.550720453     ,  0.411699980    
         900 ,  0.547845542     ,  0.409488112    
         925 ,  0.544522345     ,  0.407102406    
         950 ,  0.541445851     ,  0.404779911    
         975 ,  0.538869321     ,  0.402589232    
        1000 ,  0.536568642     ,  0.400769442    
        1025 ,  0.534721196     ,  0.399457902    
        1050 ,  0.533890963     ,  0.398734778    
        1075 ,  0.533559084     ,  0.398530841    
        1100 ,  0.533774853     ,  0.398694366    
        1125 ,  0.534097373     ,  0.398986310    
        1150 ,  0.534540653     ,  0.399383157    
        1175 ,  0.535412490     ,  0.399973541    
        1200 ,  0.537037373     ,  0.400912702    
        1225 ,  0.538870931     ,  0.402137101    
        1250 ,  0.541048765     ,  0.403419763    
        1275 ,  0.543125868     ,  0.404622763    
        1300 ,  0.545337379     ,  0.405729532    
        1325 ,  0.547663331     ,  0.406778485    
        1350 ,  0.550232708     ,  0.407662034    
        1375 ,  0.552379072     ,  0.408260763    
        1400 ,  0.554378629     ,  0.408573806    
        1425 ,  0.556340814     ,  0.408755869    
        1450 ,  0.558710515     ,  0.408971459    
        1475 ,  0.561049461     ,  0.409278601    
        1500 ,  0.563733399     ,  0.409672797    
        1525 ,  0.566483140     ,  0.410129339    
        1550 ,  0.569568932     ,  0.410689861    
        1575 ,  0.572754979     ,  0.411351442    
        1600 ,  0.576114535     ,  0.412062973    
        1625 ,  0.579131305     ,  0.412776858    
        1650 ,  0.582488060     ,  0.413459182    
        1675 ,  0.585732818     ,  0.414152205    
        1700 ,  0.588667870     ,  0.414870679    
        1725 ,  0.591817498     ,  0.415585548    
        1750 ,  0.594386518     ,  0.416227371    
        1775 ,  0.597137213     ,  0.416762173    
        1800 ,  0.599397480     ,  0.417185903    
        1825 ,  0.601752162     ,  0.417464882    
        1850 ,  0.603889883     ,  0.417656332    
        1875 ,  0.605576277     ,  0.417774141    
        1900 ,  0.607741654     ,  0.417950690    
        1925 ,  0.609993577     ,  0.418287009    
        1950 ,  0.612293839     ,  0.418876857    
        1975 ,  0.615276456     ,  0.419751912    
        2000 ,  0.618501246     ,  0.420913935    
        2025 ,  0.621810973     ,  0.422247916    
        2050 ,  0.625858963     ,  0.423770636    
        2075 ,  0.629756451     ,  0.425375253    
        2100 ,  0.633700728     ,  0.426991642    
        2125 ,  0.637244165     ,  0.428588182    
        2150 ,  0.640952766     ,  0.430088460    
        2175 ,  0.644421220     ,  0.431519240    
        2200 ,  0.647502303     ,  0.432861418    
        2225 ,  0.650438666     ,  0.434050322    
        2250 ,  0.653325677     ,  0.435039878    
        2275 ,  0.655390143     ,  0.435790181    
        2300 ,  0.657203853     ,  0.436308831    
        2325 ,  0.658696651     ,  0.436578125    
        2350 ,  0.659337461     ,  0.436585337    
        2375 ,  0.659837902     ,  0.436291933    
        2400 ,  0.659914255     ,  0.435689062    
        2425 ,  0.659151316     ,  0.434786648    
        2450 ,  0.657896280     ,  0.433591872    
        2475 ,  0.656217337     ,  0.432095855    
        2500 ,  0.653915405     ,  0.430283159    
        2525 ,  0.651143372     ,  0.428195894    
        2550 ,  0.647788584     ,  0.425861657    
        2575 ,  0.644096315     ,  0.423298985    
        2600 ,  0.640020072     ,  0.420540601    
        2625 ,  0.635424018     ,  0.417640686    
        2650 ,  0.630844891     ,  0.414614469    
        2675 ,  0.625752330     ,  0.411507785    
        2700 ,  0.620293736     ,  0.408378065    
        2725 ,  0.615086496     ,  0.405232280    
        2750 ,  0.609686732     ,  0.402097881    
        2775 ,  0.604441822     ,  0.398974925    
        2800 ,  0.598770261     ,  0.395863324    
        2825 ,  0.593062937     ,  0.392759651    
        2850 ,  0.587400794     ,  0.389683276    
        2875 ,  0.581938744     ,  0.386629224    
        2900 ,  0.576120615     ,  0.383587867    
        2925 ,  0.570543170     ,  0.380579293    
        2950 ,  0.565150023     ,  0.377661318    
        2975 ,  0.559688568     ,  0.374839932    
        3000 ,  0.554727495     ,  0.372114211    
        3025 ,  0.549792051     ,  0.369544864    
        3050 ,  0.545123577     ,  0.367151499    
        3075 ,  0.540841043     ,  0.364927024    
        3100 ,  0.536697209     ,  0.362913609    
        3125 ,  0.533022761     ,  0.361096233    
        3150 ,  0.529604912     ,  0.359514832    
        3175 ,  0.526789725     ,  0.358181119    
        3200 ,  0.524051309     ,  0.357135773    
        3225 ,  0.522072017     ,  0.356350362    
        3250 ,  0.520455539     ,  0.355860800    
        3275 ,  0.519987166     ,  0.355666757    
        3300 ,  0.519038796     ,  0.355795622    
        3325 ,  0.519504726     ,  0.356239319    
        3350 ,  0.520143747     ,  0.357004106    
        3375 ,  0.521274507     ,  0.358119011    
        3400 ,  0.523262024     ,  0.359546632    
        3425 ,  0.525738001     ,  0.361319691    
        3450 ,  0.528586328     ,  0.363446176    
        3475 ,  0.532192409     ,  0.365855545    
        3500 ,  0.536049545     ,  0.368575424    
        3525 ,  0.540714800     ,  0.371575832    
        3550 ,  0.545792937     ,  0.374808490    
        3575 ,  0.551124990     ,  0.378290892    
        3600 ,  0.556855321     ,  0.382016629    
        3625 ,  0.562755525     ,  0.385894418    
        3650 ,  0.568967879     ,  0.389951885    
        3675 ,  0.575469136     ,  0.394159704    
        3700 ,  0.582041502     ,  0.398536026    
        3725 ,  0.588834047     ,  0.403028816    
        3750 ,  0.595975399     ,  0.407652378    
        3775 ,  0.603252172     ,  0.412368357    
        3800 ,  0.610539496     ,  0.417178273    
        3825 ,  0.618107796     ,  0.422038108    
        3850 ,  0.625473380     ,  0.426950872    
        3875 ,  0.633057415     ,  0.431873620    
        3900 ,  0.640569091     ,  0.436805964    
        3925 ,  0.648117065     ,  0.441715181    
        3950 ,  0.655432522     ,  0.446567982    
        3975 ,  0.662850082     ,  0.451337606    
        4000 ,  0.669861913     ,  0.455976635    
        4025 ,  0.676730096     ,  0.460441202    
        4050 ,  0.683344901     ,  0.464738429    
        4075 ,  0.689478934     ,  0.468744814    
        4100 ,  0.695242107     ,  0.472517729    
        4125 ,  0.700916290     ,  0.475959420    
        4150 ,  0.705975115     ,  0.479105264    
        4175 ,  0.710368156     ,  0.481915891    
        4200 ,  0.714247286     ,  0.484414428    
        4225 ,  0.717656612     ,  0.486617029    
        4250 ,  0.721157372     ,  0.488502949    
        4275 ,  0.723804951     ,  0.490102887    
        4300 ,  0.726052880     ,  0.491323888    
        4325 ,  0.727508843     ,  0.492288142    
        4350 ,  0.728964686     ,  0.492907971    
        4375 ,  0.730088532     ,  0.493217140    
        4400 ,  0.730674028     ,  0.493220121    
        4425 ,  0.730799735     ,  0.492954761    
        4450 ,  0.730653167     ,  0.492396474    
        4475 ,  0.730609000     ,  0.491670638    
        4500 ,  0.729665220     ,  0.490769863    
        4525 ,  0.729159832     ,  0.489754885    
        4550 ,  0.728833616     ,  0.488675565    
        4575 ,  0.728583932     ,  0.487650424    
        4600 ,  0.728836119     ,  0.486670405    
        4625 ,  0.729718387     ,  0.485893905    
        4650 ,  0.731401265     ,  0.485388279    
        4675 ,  0.733989477     ,  0.484930038    
        4700 ,  0.736910343     ,  0.483293921    
        4725 ,  0.735711217     ,  0.477085769    
        4750 ,  0.724362910     ,  0.460236311    
